id	eg_source	eg_title	eg_link	json
1	beautifulnews	Most of the World can Now Afford Mobile Internet	http://massvis.mit.edu/	{'id':1,'eg_title':Most of the World can Now Afford Mobile Internet,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
2	beautifulnews	Australia has a Mobile Shower and Laundry Service for the Homeless	http://massvis.mit.edu/	{'id':2,'eg_title':Australia has a Mobile Shower and Laundry Service for the Homeless,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
3	beautifulnews	Rhino Populations Are Growing	http://massvis.mit.edu/	{'id':3,'eg_title':Rhino Populations Are Growing,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
4	beautifulnews	Healthy Life Expectancy is Increasing in Almost Every Country 2000-2016	http://massvis.mit.edu/	{'id':4,'eg_title':Healthy Life Expectancy is Increasing in Almost Every Country 2000-2016,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
5	beautifulnews	india's solar power capacity quadruples	http://massvis.mit.edu/	{'id':5,'eg_title':india's solar power capacity quadruples,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
6	beautifulnews	No Children Died in Car Accidents	http://massvis.mit.edu/	{'id':6,'eg_title':No Children Died in Car Accidents,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
7	beautifulnews	Giant Floating Baloons Will Provide Internet in Kenya	http://massvis.mit.edu/	{'id':7,'eg_title':Giant Floating Baloons Will Provide Internet in Kenya,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
8	beautifulnews	Scotland Generates Enough Wind Energy to Power All Its Homes	http://massvis.mit.edu/	{'id':8,'eg_title':Scotland Generates Enough Wind Energy to Power All Its Homes,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
9	beautifulnews	Soy&Oat Milk Are the Most Sustainable	http://massvis.mit.edu/	{'id':9,'eg_title':Soy&Oat Milk Are the Most Sustainable,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
10	beautifulnews	UK Teen Pregnancies Hit a Record Low	http://massvis.mit.edu/	{'id':10,'eg_title':UK Teen Pregnancies Hit a Record Low,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
11	beautifulnews	Livestock Fed Seaweed Emit Less Methane	http://massvis.mit.edu/	{'id':11,'eg_title':Livestock Fed Seaweed Emit Less Methane,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
12	beautifulnews	Foreign Aid Has Exploded	http://massvis.mit.edu/	{'id':12,'eg_title':Foreign Aid Has Exploded,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
13	beautifulnews	More Populations of Large Sea Turtles Are Improving vs Declining	http://massvis.mit.edu/	{'id':13,'eg_title':More Populations of Large Sea Turtles Are Improving vs Declining,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
14	beautifulnews	After 23 months, the 2018 Ebola outbreak in DR Congo has ended	http://massvis.mit.edu/	{'id':14,'eg_title':After 23 months, the 2018 Ebola outbreak in DR Congo has ended,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
15	beautifulnews	Laws to Protect Animals&Pets Are Becoming More Widespread	http://massvis.mit.edu/	{'id':15,'eg_title':Laws to Protect Animals&Pets Are Becoming More Widespread,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
16	beautifulnews	The Potential of Tidal Power is Amazing	http://massvis.mit.edu/	{'id':16,'eg_title':The Potential of Tidal Power is Amazing,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
17	beautifulnews	More Afghan Girls Are Being Educated	http://massvis.mit.edu/	{'id':17,'eg_title':More Afghan Girls Are Being Educated,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
18	beautifulnews	Early Detection of Cervical Cancer Has Never Been So Accurate	http://massvis.mit.edu/	{'id':18,'eg_title':Early Detection of Cervical Cancer Has Never Been So Accurate,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
19	beautifulnews	A Wall of Fertile Land Will Cross Africa	http://massvis.mit.edu/	{'id':19,'eg_title':A Wall of Fertile Land Will Cross Africa,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
20	beautifulnews	Britain's Woodland Cover Has Returned to Medieval Levels	http://massvis.mit.edu/	{'id':20,'eg_title':Britain's Woodland Cover Has Returned to Medieval Levels,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
21	beautifulnews	Renewable Energy is Untapped Energy	http://massvis.mit.edu/	{'id':21,'eg_title':Renewable Energy is Untapped Energy,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
22	beautifulnews	South Korea is Solving Its Food Waste Problem	http://massvis.mit.edu/	{'id':22,'eg_title':South Korea is Solving Its Food Waste Problem,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
23	beautifulnews	When Submarine Internet Cables Arrived in Africa...	http://massvis.mit.edu/	{'id':23,'eg_title':When Submarine Internet Cables Arrived in Africa...,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
24	beautifulnews	US Aims to Halve Food Waste by 2030	http://massvis.mit.edu/	{'id':24,'eg_title':US Aims to Halve Food Waste by 2030,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
25	beautifulnews	Sweden Sends Almost No Trash to Landfill	http://massvis.mit.edu/	{'id':25,'eg_title':Sweden Sends Almost No Trash to Landfill,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
26	beautifulnews	The Response to the 2009 Swine Flu Pandemic Was the Fastest in History	http://massvis.mit.edu/	{'id':26,'eg_title':The Response to the 2009 Swine Flu Pandemic Was the Fastest in History,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
27	beautifulnews	How Denmark Will Be Carbon Neutral	http://massvis.mit.edu/	{'id':27,'eg_title':How Denmark Will Be Carbon Neutral,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
28	beautifulnews	Fewer Young Children in Egypt Are Dying	http://massvis.mit.edu/	{'id':28,'eg_title':Fewer Young Children in Egypt Are Dying,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
29	beautifulnews	Millions of Children's Lives Have Been Saved	http://massvis.mit.edu/	{'id':29,'eg_title':Millions of Children's Lives Have Been Saved,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
30	beautifulnews	New Cookstoves are Safer, Last Longer&Reduce Emissions	http://massvis.mit.edu/	{'id':30,'eg_title':New Cookstoves are Safer, Last Longer&Reduce Emissions,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
31	beautifulnews	Hacking Photosynthesis to Feed Our Growing Population	http://massvis.mit.edu/	{'id':31,'eg_title':Hacking Photosynthesis to Feed Our Growing Population,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
32	beautifulnews	Rice	http://massvis.mit.edu/	{'id':32,'eg_title':Rice,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
33	beautifulnews	Alice, the First Commercial All-Electric Passenger Aircraft Has Landed	http://massvis.mit.edu/	{'id':33,'eg_title':Alice, the First Commercial All-Electric Passenger Aircraft Has Landed,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
34	beautifulnews	The Cost of Renewables Falling Fast	http://massvis.mit.edu/	{'id':34,'eg_title':The Cost of Renewables Falling Fast,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
35	beautifulnews	Major Fashion Brands Are Going Fur-Free	http://massvis.mit.edu/	{'id':35,'eg_title':Major Fashion Brands Are Going Fur-Free,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
36	beautifulnews	One Million UK Women Now Work in Science tech, Engineerings&Math	http://massvis.mit.edu/	{'id':36,'eg_title':One Million UK Women Now Work in Science tech, Engineerings&Math,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
37	beautifulnews	Combining Solar Panel Technologies Could Boost Energy Production by a Third	http://massvis.mit.edu/	{'id':37,'eg_title':Combining Solar Panel Technologies Could Boost Energy Production by a Third,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
38	beautifulnews	New Plant-Based Plastic Bottles Will Degrade in One Year	http://massvis.mit.edu/	{'id':38,'eg_title':New Plant-Based Plastic Bottles Will Degrade in One Year,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
39	beautifulnews	The US is Boosting Alzheimer's Funding	http://massvis.mit.edu/	{'id':39,'eg_title':The US is Boosting Alzheimer's Funding,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
40	beautifulnews	A Global 'Green New Deal' Could Eliminate 99.7% of CO2 emissions	http://massvis.mit.edu/	{'id':40,'eg_title':A Global 'Green New Deal' Could Eliminate 99.7% of CO2 emissions,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
41	beautifulnews	The Dutch city of Utrecht has covered 300 bus stops	http://massvis.mit.edu/	{'id':41,'eg_title':The Dutch city of Utrecht has covered 300 bus stops,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
42	beautifulnews	75% of All the Aluminum Ever Used in the USA Has Been Recycled	http://massvis.mit.edu/	{'id':42,'eg_title':75% of All the Aluminum Ever Used in the USA Has Been Recycled,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
43	beautifulnews	A New Device Can Harness Electricity from Raindrops	http://massvis.mit.edu/	{'id':43,'eg_title':A New Device Can Harness Electricity from Raindrops,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
44	beautifulnews	Money Spent on Disadvantaged Kids Is a Great Long-term Investment	http://massvis.mit.edu/	{'id':44,'eg_title':Money Spent on Disadvantaged Kids Is a Great Long-term Investment,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
45	beautifulnews	Fewer US Women Are Dying of Breast Cancer	http://massvis.mit.edu/	{'id':45,'eg_title':Fewer US Women Are Dying of Breast Cancer,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
46	beautifulnews	Most One-Year-Olds Are Vaccinated Against Three Lethal Diseases	http://massvis.mit.edu/	{'id':46,'eg_title':Most One-Year-Olds Are Vaccinated Against Three Lethal Diseases,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
47	beautifulnews	Renewable Energy Superstars	http://massvis.mit.edu/	{'id':47,'eg_title':Renewable Energy Superstars,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
48	beautifulnews	It's Legal to be Homosexual in the Majority of the World's Countries	http://massvis.mit.edu/	{'id':48,'eg_title':It's Legal to be Homosexual in the Majority of the World's Countries,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
49	beautifulnews	Smoking is Falling Fast in Japan	http://massvis.mit.edu/	{'id':49,'eg_title':Smoking is Falling Fast in Japan,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
50	beautifulnews	Billions More Can Now Drink Safely	http://massvis.mit.edu/	{'id':50,'eg_title':Billions More Can Now Drink Safely,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
51	beautifulnews	A 100�� Biodegradabie, Comfortable Sanitary Has Been Developed	http://massvis.mit.edu/	{'id':51,'eg_title':A 100�� Biodegradabie, Comfortable Sanitary Has Been Developed,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
52	beautifulnews	Government buildings&infrastructure in three major Australian cities are now powered by 100% renewable energy	http://massvis.mit.edu/	{'id':52,'eg_title':Government buildings&infrastructure in three major Australian cities are now powered by 100% renewable energy,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
53	beautifulnews	Mountain Gorilla Populations Are Rising	http://massvis.mit.edu/	{'id':53,'eg_title':Mountain Gorilla Populations Are Rising,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
54	beautifulnews	Belize's Barrier Reef Is No Longer at Risk	http://massvis.mit.edu/	{'id':54,'eg_title':Belize's Barrier Reef Is No Longer at Risk,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
55	beautifulnews	Tree Planting Has So Much Potential	http://massvis.mit.edu/	{'id':55,'eg_title':Tree Planting Has So Much Potential,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
56	beautifulnews	Biodiversity is Flourishing in the Thames	http://massvis.mit.edu/	{'id':56,'eg_title':Biodiversity is Flourishing in the Thames,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
57	beautifulnews	Biofortified Cassava Is Set to Transform the House of Millions	http://massvis.mit.edu/	{'id':57,'eg_title':Biofortified Cassava Is Set to Transform the House of Millions,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
58	beautifulnews	In the USA, wind power is now cheaper than burning natual gas	http://massvis.mit.edu/	{'id':58,'eg_title':In the USA, wind power is now cheaper than burning natual gas,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
59	beautifulnews	Countries Are Starting to Ban Fossil Fuel Vehicles	http://massvis.mit.edu/	{'id':59,'eg_title':Countries Are Starting to Ban Fossil Fuel Vehicles,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
60	beautifulnews	Women Can Finally Vote Everywhere	http://massvis.mit.edu/	{'id':60,'eg_title':Women Can Finally Vote Everywhere,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
61	beautifulnews	Billions More People Are Now Online	http://massvis.mit.edu/	{'id':61,'eg_title':Billions More People Are Now Online,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
62	beautifulnews	Millions of Lives Have Been Saved by Vaccines in the Last 25 Years	http://massvis.mit.edu/	{'id':62,'eg_title':Millions of Lives Have Been Saved by Vaccines in the Last 25 Years,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
63	beautifulnews	China Could Generate Half Its Power From Renewable By 2020	http://massvis.mit.edu/	{'id':63,'eg_title':China Could Generate Half Its Power From Renewable By 2020,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
64	beautifulnews	California Initiative Breeds Infertility into Mosquitoes, Cutting Their Numbers	http://massvis.mit.edu/	{'id':64,'eg_title':California Initiative Breeds Infertility into Mosquitoes, Cutting Their Numbers,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
65	beautifulnews	Trashtag Challenge Was a Huge Success	http://massvis.mit.edu/	{'id':65,'eg_title':Trashtag Challenge Was a Huge Success,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
66	beautifulnews	Visionary Mexican Program Improves Health, Education, and Nutrition	http://massvis.mit.edu/	{'id':66,'eg_title':Visionary Mexican Program Improves Health, Education, and Nutrition,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
67	beautifulnews	Taiwan has become the first Asian Country to Legalise Same-sex Marriage	http://massvis.mit.edu/	{'id':67,'eg_title':Taiwan has become the first Asian Country to Legalise Same-sex Marriage,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
68	beautifulnews	Plastic-Eating Worms Could Tackle Trash	http://massvis.mit.edu/	{'id':68,'eg_title':Plastic-Eating Worms Could Tackle Trash,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
69	beautifulnews	The Average US Citizen Now Lives Much Longer After Retirement	http://massvis.mit.edu/	{'id':69,'eg_title':The Average US Citizen Now Lives Much Longer After Retirement,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
70	beautifulnews	Simple Oral Rehydration Therapy Has Saved Millions of Lives Around the World	http://massvis.mit.edu/	{'id':70,'eg_title':Simple Oral Rehydration Therapy Has Saved Millions of Lives Around the World,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
71	beautifulnews	Extreme Poverty is Almost Eradicated in the East Asia&Pacific Region	http://massvis.mit.edu/	{'id':71,'eg_title':Extreme Poverty is Almost Eradicated in the East Asia&Pacific Region,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
72	beautifulnews	We're Investing Twice as Much in Renewables vs Fossil Fuels	http://massvis.mit.edu/	{'id':72,'eg_title':We're Investing Twice as Much in Renewables vs Fossil Fuels,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
73	beautifulnews	Global Tree Cover is Expanding	http://massvis.mit.edu/	{'id':73,'eg_title':Global Tree Cover is Expanding,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
74	beautifulnews	We��ve Almost Eradicated Polio	http://massvis.mit.edu/	{'id':74,'eg_title':We��ve Almost Eradicated Polio,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
75	beautifulnews	There are Already More Than 34000km of Plastic Roads in India	http://massvis.mit.edu/	{'id':75,'eg_title':There are Already More Than 34000km of Plastic Roads in India,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
76	beautifulnews	Rechargeable Batteries are Getting Better	http://massvis.mit.edu/	{'id':76,'eg_title':Rechargeable Batteries are Getting Better,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
77	beautifulnews	Over Two Billion More People Have Gained Access to Improved Sanitation	http://massvis.mit.edu/	{'id':77,'eg_title':Over Two Billion More People Have Gained Access to Improved Sanitation,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
78	beautifulnews	Six Organic, Biodegradable Alternatives to Single-Use Plastics	http://massvis.mit.edu/	{'id':78,'eg_title':Six Organic, Biodegradable Alternatives to Single-Use Plastics,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
79	beautifulnews	Wind Power Now Supplies 5% of the World's Energy, and It's Growing	http://massvis.mit.edu/	{'id':79,'eg_title':Wind Power Now Supplies 5% of the World's Energy, and It's Growing,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
80	beautifulnews	The Potential of Wind Power is Amazing	http://massvis.mit.edu/	{'id':80,'eg_title':The Potential of Wind Power is Amazing,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
81	beautifulnews	South Africa is Defending Its Rhinos	http://massvis.mit.edu/	{'id':81,'eg_title':South Africa is Defending Its Rhinos,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
82	beautifulnews	Even A Small Portion of Fruit or Vegetables Every Day Can Prevent Diabetes	http://massvis.mit.edu/	{'id':82,'eg_title':Even A Small Portion of Fruit or Vegetables Every Day Can Prevent Diabetes,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
83	beautifulnews	Oil Spills Have Decreased	http://massvis.mit.edu/	{'id':83,'eg_title':Oil Spills Have Decreased,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
84	beautifulnews	Despite US Planned Withdrawal from the Paris Agreement	http://massvis.mit.edu/	{'id':84,'eg_title':Despite US Planned Withdrawal from the Paris Agreement,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
85	beautifulnews	Almost Half of New Cars Sold in Norway Are Electric	http://massvis.mit.edu/	{'id':85,'eg_title':Almost Half of New Cars Sold in Norway Are Electric,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
86	beautifulnews	Best in Show: The Ultimate Data Dog	http://massvis.mit.edu/	{'id':86,'eg_title':Best in Show: The Ultimate Data Dog,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
87	beautifulnews	Norway Recycles Almost All of Their Plastic Bottles	http://massvis.mit.edu/	{'id':87,'eg_title':Norway Recycles Almost All of Their Plastic Bottles,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
88	beautifulnews	Numerous Countries Are Banning the Use of Wild Animals in Circuses	http://massvis.mit.edu/	{'id':88,'eg_title':Numerous Countries Are Banning the Use of Wild Animals in Circuses,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
89	beautifulnews	Europe Could Power the Entire World with Wind	http://massvis.mit.edu/	{'id':89,'eg_title':Europe Could Power the Entire World with Wind,'eg_source':beautifulnews,'eg_link':http://massvis.mit.edu/}
90	fivethirtyeight	Does The Road To The Stanley Cup Lead Through Florida �� Again?	http://massvis.mit.edu/	{'id':90,'eg_title':Does The Road To The Stanley Cup Lead Through Florida �� Again?,'eg_source':fivethirtyeight,'eg_link':http://massvis.mit.edu/}
91	fivethirtyeight	How Cable News Is Talking About The Protests -- And Why It Matters	http://massvis.mit.edu/	{'id':91,'eg_title':How Cable News Is Talking About The Protests -- And Why It Matters,'eg_source':fivethirtyeight,'eg_link':http://massvis.mit.edu/}
92	fivethirtyeight	Confidence Interval: Republicans Will Win Back Congress In 2022	http://massvis.mit.edu/	{'id':92,'eg_title':Confidence Interval: Republicans Will Win Back Congress In 2022,'eg_source':fivethirtyeight,'eg_link':http://massvis.mit.edu/}
93	fivethirtyeight	Women Of Color Have Always Been In Politics. Now They Are Changing Congress	http://massvis.mit.edu/	{'id':93,'eg_title':Women Of Color Have Always Been In Politics. Now They Are Changing Congress,'eg_source':fivethirtyeight,'eg_link':http://massvis.mit.edu/}
94	fivethirtyeight	Do You Buy That ... President Joe Biden Can Unite The Country? 	http://massvis.mit.edu/	{'id':94,'eg_title':Do You Buy That ... President Joe Biden Can Unite The Country? ,'eg_source':fivethirtyeight,'eg_link':http://massvis.mit.edu/}
95	fivethirtyeight	Do You Buy That ... President Joe Biden Can Unite The Country? 	http://massvis.mit.edu/	{'id':95,'eg_title':Do You Buy That ... President Joe Biden Can Unite The Country? ,'eg_source':fivethirtyeight,'eg_link':http://massvis.mit.edu/}
96	fivethirtyeight	Trump��s refusal to concede hasn��t made life easier for GOP in Georgia runoffs	http://massvis.mit.edu/	{'id':96,'eg_title':Trump��s refusal to concede hasn��t made life easier for GOP in Georgia runoffs ,'eg_source':fivethirtyeight,'eg_link':http://massvis.mit.edu/}
97	fivethirtyeight	Those suburban votes were key to putting Biden over the top	http://massvis.mit.edu/	{'id':97,'eg_title':Those suburban votes were key to putting Biden over the top,'eg_source':fivethirtyeight,'eg_link':http://massvis.mit.edu/}
98	fivethirtyeight	I buy that COVID was a factor in polls underestimating	http://massvis.mit.edu/	{'id':98,'eg_title':I buy that COVID was a factor in polls underestimating,'eg_source':fivethirtyeight,'eg_link':http://massvis.mit.edu/}
99	fivethirtyeight	What Happened To The Polls In 2016 �� And What You Should Know About Them In 2020	http://massvis.mit.edu/	{'id':99,'eg_title':What Happened To The Polls In 2016 �� And What You Should Know About Them In 2020,'eg_source':fivethirtyeight,'eg_link':http://massvis.mit.edu/}
100	fivethirtyeight	(Trump) may be discouraging turnout within his own party	http://massvis.mit.edu/	{'id':100,'eg_title':(Trump) may be discouraging turnout within his own party,'eg_source':fivethirtyeight,'eg_link':http://massvis.mit.edu/}
101	fivethirtyeight	Trump's getting into underdog territory	http://massvis.mit.edu/	{'id':101,'eg_title':Trump's getting into underdog territory,'eg_source':fivethirtyeight,'eg_link':http://massvis.mit.edu/}
102	fivethirtyeight	Biden And Sanders Are Neck And Neck In Iowa	http://massvis.mit.edu/	{'id':102,'eg_title':Biden And Sanders Are Neck And Neck In Iowa,'eg_source':fivethirtyeight,'eg_link':http://massvis.mit.edu/}
103	fivethirtyeight	Did The First Five Public Impeachment Hearings Change Anyone's Mind?	http://massvis.mit.edu/	{'id':103,'eg_title':Did The First Five Public Impeachment Hearings Change Anyone's Mind?,'eg_source':fivethirtyeight,'eg_link':http://massvis.mit.edu/}
104	fivethirtyeight	How Ricky Williams��s infamous contract got made	http://massvis.mit.edu/	{'id':104,'eg_title':How Ricky Williams��s infamous contract got made,'eg_source':fivethirtyeight,'eg_link':http://massvis.mit.edu/}
105	fivethirtyeight	Do You Buy That �� Ranked-Choice Voting Could Change The Outcome Of The NYC Mayoral Race?	http://massvis.mit.edu/	{'id':105,'eg_title':Do You Buy That �� Ranked-Choice Voting Could Change The Outcome Of The NYC Mayoral Race?,'eg_source':fivethirtyeight,'eg_link':http://massvis.mit.edu/}
106	fivethirtyeight	Republicans Can Govern Without Winning A Majority. That Threatens Our Democracy	http://massvis.mit.edu/	{'id':106,'eg_title':Republicans Can Govern Without Winning A Majority. That Threatens Our Democracy,'eg_source':fivethirtyeight,'eg_link':http://massvis.mit.edu/}
107	fivethirtyeight	Republicans Can Govern Without Winning A Majority. That Threatens Our Democracy.	http://massvis.mit.edu/	{'id':107,'eg_title':Republicans Can Govern Without Winning A Majority. That Threatens Our Democracy.,'eg_source':fivethirtyeight,'eg_link':http://massvis.mit.edu/}
108	fivethirtyeight	Republicans Can Govern Without Winning A Majority. That Threatens Our Democracy.	http://massvis.mit.edu/	{'id':108,'eg_title':Republicans Can Govern Without Winning A Majority. That Threatens Our Democracy.,'eg_source':fivethirtyeight,'eg_link':http://massvis.mit.edu/}
109	fivethirtyeight	Republicans Can Govern Without Winning A Majority. That Threatens Our Democracy.	http://massvis.mit.edu/	{'id':109,'eg_title':Republicans Can Govern Without Winning A Majority. That Threatens Our Democracy.,'eg_source':fivethirtyeight,'eg_link':http://massvis.mit.edu/}
110	fivethirtyeight	Republicans Can Govern Without Winning A Majority. That Threatens Our Democracy	http://massvis.mit.edu/	{'id':110,'eg_title':Republicans Can Govern Without Winning A Majority. That Threatens Our Democracy,'eg_source':fivethirtyeight,'eg_link':http://massvis.mit.edu/}
111	fivethirtyeight	I do not buy that the (J&J vaccine) pause was a good idea	http://massvis.mit.edu/	{'id':111,'eg_title':I do not buy that the (J&J vaccine) pause was a good idea,'eg_source':fivethirtyeight,'eg_link':http://massvis.mit.edu/}
